﻿일,유종,Dubai,Brent,WTI
01월 02일,,75.18,75.93,73.13
01월 03일,,76.54,76.51,73.96
01월 06일,,76.55,76.30,73.56
01월 07일,,76.30,77.05,74.25
01월 08일,,77.68,76.16,73.32
01월 09일,,76.43,76.92,73.92
01월 10일,,77.93,79.76,76.57
01월 13일,,82.41,81.01,78.82
01월 14일,,82.23,79.92,77.50
01월 15일,,82.24,82.03,80.04
01월 16일,,84.54,81.29,78.68
01월 17일,,84.61,80.79,77.88
01월 20일,,83.53,80.15,-
01월 21일,,83.09,79.29,75.89
01월 22일,,82.21,79.00,75.44
01월 23일,,82.11,78.29,74.62
01월 24일,,81.82,78.50,74.66
01월 27일,,81.59,77.08,73.17
01월 28일,,81.28,77.49,73.77
01월 29일,,-,76.58,72.62
01월 30일,,-,76.87,72.73
01월 31일,,79.90,76.76,72.53
02월 03일,,79.04,75.96,73.16
02월 04일,,77.45,76.20,72.70
02월 05일,,78.39,74.61,71.03
02월 06일,,77.45,74.29,70.61
02월 07일,,77.78,74.66,71.00
02월 10일,,77.96,75.87,72.32
02월 11일,,79.30,77.00,73.32
02월 12일,,79.02,75.18,71.37
02월 13일,,76.98,75.02,71.29
02월 14일,,77.78,74.74,70.74
02월 17일,,77.56,75.22,-
02월 18일,,77.88,75.84,71.85
02월 19일,,79.41,76.04,72.25
02월 20일,,78.93,76.48,72.57
02월 21일,,78.83,74.43,70.40
02월 24일,,77.02,74.78,70.70
02월 25일,,77.81,73.02,68.93
02월 26일,,76.27,72.53,68.62
02월 27일,,76.01,74.04,70.35
02월 28일,,77.52,73.18,69.76
03월 03일,,73.23,71.62,68.37
03월 04일,,70.44,71.04,68.26
03월 05일,,71.41,69.30,66.31
03월 06일,,70.23,69.46,66.36
03월 07일,,70.84,70.36,67.04
03월 10일,,71.38,69.28,66.03
03월 11일,,70.53,69.56,66.25
03월 12일,,70.64,70.95,67.68
03월 13일,,72.07,69.88,66.55
03월 14일,,71.54,70.58,67.18
03월 17일,,72.22,71.07,67.58
03월 18일,,73.04,70.56,66.90
03월 19일,,71.88,70.78,67.16
03월 20일,,72.94,72.00,68.26
03월 21일,,73.81,72.16,68.28
03월 24일,,73.43,73.00,69.11
03월 25일,,74.69,73.02,69.00
03월 26일,,74.70,73.79,69.65
03월 27일,,74.80,74.03,69.92
03월 28일,,75.88,73.63,69.36
03월 31일,,-,74.74,71.48
04월 01일,,75.97,74.49,71.20
04월 02일,,76.15,74.95,71.71
04월 03일,,75.08,70.14,66.95
04월 04일,,70.48,65.58,61.99
04월 07일,,64.57,64.21,60.70
04월 08일,,65.21,62.82,59.58
04월 09일,,61.88,65.48,62.35
04월 10일,,65.41,63.33,60.07
04월 11일,,64.91,64.76,61.50
04월 14일,,66.24,64.88,61.53
04월 15일,,66.61,64.67,61.33
04월 16일,,66.63,65.85,62.47
04월 17일,,68.14,67.96,64.68
04월 21일,,68.41,66.26,63.08
04월 22일,,68.52,67.44,64.31
04월 23일,,69.47,66.12,62.27
04월 24일,,67.60,66.55,62.79
04월 25일,,67.23,66.87,63.02
04월 28일,,66.85,65.86,62.05
04월 29일,,64.61,64.25,60.42
04월 30일,,62.53,63.12,58.21
05월 01일,,-,62.13,59.24
05월 02일,,62.00,61.29,58.29
05월 05일,,59.56,60.23,57.13
05월 06일,,61.70,62.15,59.09
05월 07일,,63.62,61.12,58.07
05월 08일,,62.17,62.84,59.91
05월 09일,,63.91,63.91,61.02
05월 12일,,-,64.96,61.95
05월 13일,,65.27,66.63,63.67
05월 14일,,66.01,66.09,63.15
05월 15일,,63.70,64.53,61.62
05월 16일,,63.78,65.41,62.49
05월 19일,,64.24,65.54,62.69
05월 20일,,64.99,65.38,62.56
