﻿일,유종,휘발유[92RON],등유,경유[0.001%]
01월 02일,,71.59,81.12,79.38
01월 05일,,70.21,80.28,78.11
01월 06일,,71.19,81.87,79.55
01월 07일,,69.58,80.37,77.34
01월 08일,,69.94,79.77,77.13
01월 09일,,71.93,81.72,79.56
01월 12일,,71.79,81.73,79.97
01월 13일,,72.35,82.73,81.29
01월 14일,,71.83,83.83,82.46
01월 15일,,71.42,83.31,81.78
01월 16일,,70.47,82.87,81.71
01월 19일,,70.62,83.30,82.13
01월 20일,,70.97,83.21,82.52
01월 21일,,71.83,84.26,83.91
01월 22일,,72.29,85.15,85.39
01월 23일,,70.78,84.21,84.18
01월 26일,,71.62,85.35,85.78
01월 27일,,70.19,83.64,84.03
01월 28일,,72.45,85.68,86.69
01월 29일,,73.65,87.55,88.58
01월 30일,,73.44,87.66,88.83
02월 02일,,70.91,85.85,87.38
02월 03일,,71.14,85.14,86.71
02월 04일,,72.92,86.67,88.27
02월 05일,,73.35,87.10,88.58
02월 06일,,73.50,87.73,89.52
02월 09일,,74.86,86.51,88.20
02월 10일,,76.66,87.45,88.81
02월 11일,,75.52,88.44,89.71
02월 12일,,74.82,88.57,89.68
02월 13일,,71.60,86.43,87.46
02월 16일,,71.77,85.74,87.01
02월 19일,,76.05,90.85,91.85
02월 20일,,77.60,92.52,93.12
02월 23일,,77.44,91.85,91.87
02월 24일,,78.87,92.67,92.59
02월 25일,,78.99,92.53,92.40
02월 26일,,79.27,92.71,92.59
02월 27일,,79.64,93.55,92.90
03월 02일,,90.31,116.44,115.13
03월 03일,,95.58,130.24,125.86
03월 04일,,99.66,231.41,145.13
03월 05일,,106.28,201.17,153.18
03월 06일,,113.13,160.54,155.74
03월 09일,,139.27,188.18,185.41
03월 10일,,119.20,142.96,161.37
03월 11일,,116.76,157.27,164.56
03월 12일,,130.12,209.52,194.50
03월 13일,,136.44,199.50,192.48
03월 16일,,140.16,201.42,190.93
03월 17일,,138.84,201.27,198.20
03월 18일,,139.78,201.05,198.87
03월 19일,,151.92,227.41,224.49
03월 20일,,150.60,222.49,222.99
03월 23일,,157.22,234.32,242.89
03월 24일,,141.76,204.60,219.90
전일비,,-15.46,-29.72,-22.99
전주비,,2.92,3.33,21.70
전월동일비,,62.89,111.93,127.31
전년동일비,,61.04,118.28,133.11
평균,,89.68,117.53,115.01
