기간,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL
25년01월1주,1622.09,1603.26,1625.16,1594.51
25년01월2주,1653.25,1632.86,1648.15,1663.44
25년01월3주,1689.15,1639.45,1661.74,1667.57
25년01월4주,1652.86,1672.88,1654.42,1678.91
25년01월5주,1670.08,1633.61,1646.41,1617.89
25년02월1주,1653.20,1640.51,1647.99,1647.14
25년02월2주,1641.11,1644.48,1632.86,1657.52
25년02월3주,1654.53,1656.85,1637.37,1642.30
25년02월4주,1619.10,1660.47,1627.85,1606.75
25년03월1주,1603.95,1623.47,1604.34,1636.51
25년03월2주,1572.09,1592.40,1566.76,1595.39
25년03월3주,1587.06,1580.82,1574.23,1589.96
25년03월4주,1578.56,1600.09,1588.11,1549.53
25년04월1주,1622.04,1629.34,1605.22,1594.79
25년04월2주,1561.12,1625.59,1559.18,1631.96
25년04월3주,1537.48,1533.13,1566.91,1553.29
25년04월4주,1573.98,1548.27,1561.66,1562.29
25년04월5주,1556.20,1588.22,1583.12,1587.67
25년05월1주,1589.40,1600.40,1592.26,1592.34
25년05월2주,1575.76,1581.38,1567.08,1588.31
25년05월3주,1589.51,1599.46,1570.12,1577.83
25년05월4주,1564.16,1585.83,1558.54,1527.79
25년06월1주,1560.96,1578.84,1576.52,1588.08
25년06월2주,1580.14,1581.53,1566.29,1600.10
25년06월3주,1596.87,1608.06,1613.47,1627.88
25년06월4주,1648.64,1670.64,1633.69,1588.27
25년07월1주,1623.30,1623.42,1616.49,1613.46
25년07월2주,1596.72,1595.53,1588.09,1610.49
25년07월3주,1594.02,1605.27,1579.66,1597.96
25년07월4주,1591.73,1606.11,1577.91,1596.57
25년07월5주,1604.44,1594.87,1586.17,1592.54
25년08월1주,1593.21,1620.08,1581.90,1611.85
25년08월2주,1582.02,1604.59,1569.69,1589.10
25년08월3주,1580.52,1609.12,1567.59,1582.89
25년08월4주,1585.18,1616.22,1575.45,1591.29
25년09월1주,1606.56,1621.93,1588.46,1595.01
25년09월2주,1592.83,1633.34,1583.70,1618.00
25년09월3주,1602.95,1626.59,1592.90,1606.66
25년09월4주,1601.47,1638.15,1588.60,1594.75
25년10월1주,1601.14,1618.61,1589.93,1593.37
25년10월2주,1597.93,1610.31,1597.15,1602.98
25년10월3주,1583.22,1604.85,1577.60,1596.63
25년10월4주,1604.88,1604.99,1596.85,1593.21
25년10월5주,1606.91,1621.47,1615.85,1564.21
25년11월1주,1665.79,1673.44,1670.50,1627.19
25년11월2주,1670.88,1670.05,1663.50,1667.80
25년11월3주,1683.88,1695.41,1665.93,1676.47
25년11월4주,1672.86,1674.45,1653.74,1611.49
25년12월1주,1674.71,1672.25,1671.32,1667.51
25년12월2주,1666.59,1693.81,1658.22,1664.17
25년12월3주,1650.66,1681.47,1647.75,1657.35
25년12월4주,1652.09,1654.03,1637.66,1648.55
25년12월5주,1654.30,1634.64,1638.16,1593.94
