기간,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL
25년01월1주,1465.82,1449.84,1471.68,1444.40
25년01월2주,1510.86,1489.04,1520.54,1540.07
25년01월3주,1569.79,1494.83,1546.11,1553.06
25년01월4주,1542.56,1553.66,1553.87,1574.18
25년01월5주,1550.99,1524.40,1540.77,1513.27
25년02월1주,1525.67,1481.57,1528.67,1525.87
25년02월2주,1504.66,1482.45,1497.58,1523.71
25년02월3주,1508.08,1488.99,1495.98,1503.84
25년02월4주,1473.42,1482.07,1476.74,1456.03
25년03월1주,1458.52,1447.89,1457.90,1489.65
25년03월2주,1432.41,1434.03,1426.10,1453.76
25년03월3주,1443.88,1417.80,1433.19,1444.17
25년03월4주,1433.78,1420.16,1438.46,1409.17
25년04월1주,1464.16,1445.25,1453.34,1455.10
25년04월2주,1410.76,1440.57,1407.32,1475.25
25년04월3주,1381.04,1366.68,1414.58,1414.77
25년04월4주,1417.06,1377.02,1410.01,1420.78
25년04월5주,1393.83,1407.49,1425.49,1439.60
25년05월1주,1429.13,1420.55,1429.65,1437.08
25년05월2주,1414.73,1384.55,1404.19,1428.97
25년05월3주,1409.03,1414.09,1404.95,1416.75
25년05월4주,1398.29,1390.19,1393.69,1361.60
25년06월1주,1375.78,1377.17,1410.54,1421.27
25년06월2주,1413.78,1391.42,1401.02,1434.21
25년06월3주,1440.41,1419.25,1441.14,1456.90
25년06월4주,1477.37,1521.19,1468.09,1417.46
25년07월1주,1476.42,1465.68,1464.91,1463.30
25년07월2주,1468.07,1454.21,1455.66,1490.82
25년07월3주,1474.53,1482.45,1460.59,1481.10
25년07월4주,1484.97,1500.55,1471.95,1493.04
25년07월5주,1489.25,1504.65,1470.71,1481.04
25년08월1주,1473.91,1511.68,1466.86,1507.81
25년08월2주,1465.72,1472.39,1452.35,1471.69
25년08월3주,1463.22,1444.50,1446.84,1441.84
25년08월4주,1456.72,1444.60,1440.65,1448.87
25년09월1주,1476.48,1456.87,1458.09,1452.45
25년09월2주,1453.88,1476.50,1448.27,1476.70
25년09월3주,1481.28,1478.74,1464.39,1472.54
25년09월4주,1475.27,1482.21,1463.01,1462.02
25년10월1주,1473.46,1470.39,1466.85,1462.54
25년10월2주,1466.83,1476.62,1472.41,1486.75
25년10월3주,1474.55,1465.09,1465.98,1470.00
25년10월4주,1498.01,1444.75,1491.15,1454.37
25년10월5주,1495.91,1480.73,1510.39,1460.36
25년11월1주,1595.68,1563.24,1601.31,1535.80
25년11월2주,1614.55,1604.17,1607.02,1600.12
25년11월3주,1636.38,1636.15,1617.89,1577.59
25년11월4주,1609.63,1635.66,1595.88,1553.10
25년12월1주,1571.32,1552.88,1582.54,1551.26
25년12월2주,1551.13,1544.77,1542.26,1533.66
25년12월3주,1513.68,1524.02,1507.62,1522.35
25년12월4주,1504.07,1491.70,1488.15,1495.60
25년12월5주,1487.52,1451.51,1486.97,1459.11
26년01월1주,1459.21,1423.63,1483.23,1486.53
26년01월2주,1470.35,1413.47,1466.78,1489.96
26년01월3주,1494.68,1456.47,1478.47,1478.88
26년01월4주,1520.77,1480.75,1497.03,1450.81
26년02월1주,1546.55,1493.46,1541.73,1508.80
26년02월2주,1543.42,1512.08,1532.56,1571.34
26년02월3주,1578.25,1523.06,1553.55,1568.35
26년02월4주,1562.84,1535.00,1558.35,1519.27
26년03월1주,1822.18,1807.70,1873.97,1765.24
