기간,SK에너지,GS칼텍스,HD현대오일뱅크,S-OIL
25년01월1주,1059.36,1036.68,1083.50,1027.51
25년01월2주,1091.87,1141.77,1125.41,1086.86
25년01월3주,1144.57,1163.60,1154.89,1096.44
25년01월4주,1146.09,1132.76,1168.81,1124.78
25년01월5주,1149.18,1047.04,1129.78,1107.93
25년02월1주,1109.20,1150.26,1122.66,1097.02
25년02월2주,1094.68,1158.70,1111.51,1103.54
25년02월3주,1108.15,1153.58,1116.87,1083.43
25년02월4주,1086.06,1060.10,1101.33,1071.66
25년03월1주,1071.62,1096.52,1076.24,1061.08
25년03월2주,1043.10,1073.55,1041.03,1045.12
25년03월3주,1048.32,1046.03,1046.03,1006.34
25년03월4주,1039.29,958.05,1053.82,1010.01
25년04월1주,1052.93,933.91,1072.74,1032.27
25년04월2주,1016.33,1092.14,1032.76,1045.48
25년04월3주,1004.19,1065.48,1036.60,972.21
25년04월4주,1000.36,1075.24,1031.98,971.56
25년04월5주,1001.51,876.61,1043.41,973.93
25년05월1주,1006.83,1045.99,1010.08,971.51
25년05월2주,988.93,1039.51,992.08,977.03
25년05월3주,976.98,1014.22,988.09,927.37
25년05월4주,930.16,857.65,977.39,909.52
25년06월1주,924.00,1019.32,980.96,932.24
25년06월2주,939.59,1025.67,985.44,980.74
25년06월3주,977.33,1064.47,1028.47,966.36
25년06월4주,986.38,851.91,1043.56,962.82
25년07월1주,992.13,775.36,1039.72,986.92
25년07월2주,996.14,1061.83,1031.40,998.24
25년07월3주,996.05,1065.58,1038.68,979.33
25년07월4주,1001.08,1076.79,1047.63,973.84
25년07월5주,1034.28,980.47,1006.69,1000.00
25년08월1주,1020.87,1106.13,1003.70,979.03
25년08월2주,1016.95,1081.52,987.90,989.22
25년08월3주,984.76,1036.15,989.85,941.86
25년08월4주,990.51,976.61,985.52,976.00
25년09월1주,1007.64,960.92,1005.15,967.12
25년09월2주,1011.60,1056.26,992.95,993.95
25년09월3주,1023.37,1046.86,1015.60,971.32
25년09월4주,1022.85,1056.61,1013.46,983.65
25년10월1주,1030.58,984.59,1016.13,980.49
25년10월2주,1026.40,1074.02,1025.04,986.11
25년10월3주,1004.04,1050.54,1021.52,988.01
25년10월4주,1016.37,1043.25,1046.33,971.36
25년10월5주,1055.96,1033.29,1077.57,995.53
25년11월1주,1101.75,1106.79,1152.31,1005.13
25년11월2주,1126.66,1153.22,1153.67,1079.51
25년11월3주,1138.52,1177.59,1175.54,1084.13
25년11월4주,1119.98,1106.08,1124.46,1067.98
25년12월1주,1093.09,1104.70,1123.34,1072.49
25년12월2주,1069.56,1137.30,1083.40,1070.22
25년12월3주,1042.59,1121.84,1063.23,1046.36
25년12월4주,1032.65,1078.67,1048.44,1034.81
25년12월5주,1034.51,1020.49,1052.89,997.57
26년01월1주,1000.03,1044.56,1047.79,990.53
26년01월2주,1004.81,1047.95,1022.41,1006.97
26년01월3주,1028.21,1063.07,1035.44,996.17
26년01월4주,1049.25,1044.71,1056.41,995.45
26년02월1주,1062.70,1074.10,1087.57,1005.83
26년02월2주,1050.92,1097.38,1077.04,1033.27
26년02월3주,1072.52,1107.01,1099.65,1026.04
26년02월4주,1054.01,1060.99,1078.40,1064.32
26년03월1주,1228.02,1491.07,1622.63,1369.80
