고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000035,서울 종로구,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),HD현대오일뱅크,셀프,2268,1950,1942,0
A0000045,서울 종로구,㈜북악주유소,서울 종로구 평창문화로 137,GS칼텍스,셀프,2489,2289,2179,0
A0000064,서울 종로구,안풍주유소,서울 종로구 자하문로 303,S-OIL,일반,2289,1998,1998,0
A0000069,서울 종로구,자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,셀프,2385,1955,1945,0
A0002211,서울 종로구,㈜한화미 구도일주유소 특종,서울 종로구 평창문화로 90 (평창동),S-OIL,일반,2390,1979,1979,1700
A0009433,서울 종로구,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SK에너지,셀프,2288,1898,1889,0
A0010027,서울 종로구,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65,GS칼텍스,일반,2565,2265,2175,1800
A0000767,서울 중구,서남주유소,서울 중구 통일로 30,SK에너지,일반,2654,2294,2283,1790
A0006093,서울 중구,다산주유소,서울 중구 다산로 233,S-OIL,셀프,2284,1834,1829,1600
A0009047,서울 중구,필동주유소,서울 중구 퇴계로 196,GS칼텍스,일반,2548,2098,1998,1798
A0009071,서울 중구,HD현대오일뱅크㈜직영 장원주유소,서울 중구 동호로 203 (신당동),HD현대오일뱅크,일반,2158,1852,1807,1595
A0009073,서울 중구,장충드림주유소,서울 중구 동호로 296,S-OIL,셀프,0,1845,1835,0
A0009076,서울 중구,진심self주유소,서울 중구 왕십리로 403,S-OIL,셀프,2274,1898,1889,0
A0009096,서울 중구,신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,일반,2428,2198,2198,1750
A0009097,서울 중구,약수주유소,서울 중구 다산로 173,SK에너지,셀프,2084,1834,1829,0
A0009100,서울 중구,동일석유㈜퇴계로주유소,서울 중구 퇴계로 228 (필동2가),SK에너지,일반,2158,1845,1835,0
A0009101,서울 중구,장충주유소,서울 중구 장충단로 202 (장충동1가),SK에너지,일반,2368,2088,2094,0
A0009143,서울 동대문구,(주)정건에너지 배봉로지점,서울 동대문구 서울시립대로 108,HD현대오일뱅크,셀프,0,1793,1782,1600
A0009172,서울 동대문구,풍한주유소,서울 동대문구 안암로 168,SK에너지,일반,0,1845,1845,0
A0009173,서울 동대문구,재정주유소,서울 동대문구 전농로 121,HD현대오일뱅크,셀프,2120,1793,1782,0
A0009177,서울 동대문구,홍능주유소,서울 동대문구 홍릉로 87,S-OIL,일반,0,1857,1857,1700
A0009195,서울 동대문구,HD현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),HD현대오일뱅크,일반,2019,1800,1779,0
A0009210,서울 동대문구,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),GS칼텍스,셀프,2148,1824,1815,0
A0009215,서울 동대문구,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),SK에너지,셀프,0,1819,1819,0
A0009222,서울 동대문구,동서울고속주유소,서울 동대문구 한천로 414,SK에너지,셀프,2109,1879,1858,0
